Name,FIPS,#RenterOccupiedHousingUnits,#MovedSameCounty,#MovedSameState,#MovedNewState,MedianRent,MedianHomeValue,#VacantForRent
"Sunfish Lake, MN",2763544,8,0,32,0,1556,932900,0
"Kula, HI",1541600,917,277,0,213,1350.8,932600,0
"Los Ranchos, CA",644242,0,0,0,0,1337.706597,932100,0
"Armonk, NY",3602649,174,211,21,90,3468,930500,9
"La Selva Beach, CA",640508,385,28,42,17,2216.50434,929900,0
"St. Helena, CA",664140,953,156,78,89,1474.407711,928800,14
"Santa Clara, CA",669084,25906,3712,1825,690,2291.020453,927200,788
"Pawleys Island, SC",4555015,3,108,61,18,947.0813559,927100,0
"Rossmoor, CA",663050,533,115,96,65,2527.234279,926500,0
"Rehoboth Beach, DE",1060290,214,15,0,49,1321.466958,926200,8
"San Martin, CA",668238,704,57,46,0,1479.861967,925600,58
"Sierra Madre, CA",671806,1648,216,133,160,1491.977456,924400,100
"East Honolulu, HI",1506290,2421,1415,86,712,2862.233803,921200,112
"Pinecrest, FL",1256625,1513,696,91,70,1428.488935,919800,116
"San Ramon, CA",668378,6746,1726,891,751,2321.983779,919700,757
"Glencoe, IL",1729652,199,403,106,62,1433.977053,918600,35
"Half Moon Bay, CA",631708,1800,220,119,38,2166.518056,917500,30
"Chevy Chase CDP, Montgomery County, MD",2416625,708,209,82,92,2385.8,916700,109
"Lawrence, NY",3641553,243,27,19,36,1656.6,916500,0
"Montara, CA",648760,181,81,72,40,1749.944474,914400,0
"Encinitas, CA",622678,9348,1721,307,265,1890.443435,913700,445
"Westlake Village, CA",684438,392,188,317,35,2624.181833,913400,12
"Inverness, CA",636616,138,0,18,0,1804.760449,913000,15
"Pelican Bay, FL",1255650,205,157,0,102,1471.127397,912300,36
"Los Olivos, CA",644168,104,0,0,0,2073.708638,905400,26
"Ocean Ridge, FL",1250950,92,26,56,5,1663.483247,905300,0
"Olinda, HI",1557350,146,12,0,4,1878.383268,904400,0
"Ballard, CA",603694,39,92,0,0,,902500,6
"Cabin John, MD",2412075,112,14,0,105,2211.8,902100,0
"The Village of Indian Hill, OH",3976582,0,223,29,68,,901600,21
"North Tustin, CA",652379,510,411,177,37,1917.883622,901100,0
"Barton Hills, MI",2605660,4,1,0,5,,900600,0
"Corralitos, CA",616434,79,123,0,0,2686.163266,898700,0
"Glen Echo, MD",2432900,9,0,0,0,3332.402174,898000,0
"Wolf Trap, VA",5187240,197,388,51,179,,897900,0
"Bethesda, MD",2407125,8846,1882,232,1592,1998.689085,897400,413
"Head of the Harbor, NY",3632963,36,0,0,0,1948.8,896600,0
"Potomac, MD",2463300,1904,1046,122,566,1949.6,896300,31
"Rio del Mar, CA",660928,1301,103,207,113,2169.353555,895600,29
"Puako, HI",1565150,127,28,0,0,2031.658354,895300,786
"Kensington, CA",638086,341,56,139,86,2676.848326,894200,8
"Winchester, MA",2580545,1111,468,111,229,1750.35134,893700,28
"Poipu, HI",1564550,145,39,0,22,1445.670202,893300,40
"Heeia, HI",1513900,114,98,0,38,3376.861097,892600,0
"Lucas Valley-Marinwood, CA",644399,342,127,126,0,2378.8,891600,0
"Saranap, CA",670266,832,374,102,188,1887.624437,890700,0
"Alta, UT",4900650,47,,,,482.6710374,890600,48
"Montauk, NY",3648054,81,0,16,9,2338.408157,890200,254
"Greenwood Village, CO",833035,2215,320,571,216,1756.776092,889400,64
"Carmel Valley Village, CA",611324,384,332,15,36,1810.6,889200,0
"Northwest Harbor, NY",3653852,0,0,44,9,497.0673715,888500,0
"Pine Brook Hill, CO",859240,42,70,14,12,2184.819295,887900,0
"Newton, MA",2545560,8348,2722,1581,1092,1831.060407,886100,96
"Snowmass Village, CO",871755,561,33,32,22,591.030468,886100,447
"Brookline, MA",2509210,11747,985,1913,1147,2229.942852,885700,0
"Upper Saddle River, NJ",3475140,290,124,164,104,2615.86358,884500,0
"Kahaluu, HI",1521200,342,8,2,93,1996.133366,884400,22
"Stafford, OR",4169800,164,20,12,0,1053.49476,884100,0
"Day Valley, CA",618153,50,90,44,19,2062.573282,883000,17
"Lexington Hills, CA",641282,40,0,39,0,1659.265712,882900,0
"San Clemente, CA",665084,8258,2011,656,661,1834.132056,881000,264
"Summit, NJ",3471430,2216,449,336,217,1850.924459,879000,77
"Greenwood, MN",2725918,33,2,0,0,1569.6,878800,7
"Hinsdale, IL",1735307,949,341,218,127,1916.203348,878700,50
"Redondo Beach, CA",660018,13745,2155,409,888,1983.239127,875000,534
"San Rafael, CA",668364,11645,951,624,404,1853.019006,873800,237
"Brisbane, CA",608310,387,0,37,51,2041.521587,872700,0
"Hingham, MA",2530175,267,92,85,0,1107.807684,870700,0
"North Fair Oaks, CA",651840,2131,167,157,26,1811.947702,868700,41
"Pajaro Dunes, CA",655048,89,,,,,868400,53
"Bedford, NY",3605309,0,158,0,0,,868100,28
"Avon-by-the-Sea, NJ",3402440,292,39,10,42,1539.096377,867400,8
"Biltmore Forest, NC",3705880,82,69,0,0,1096.553351,866900,10
"Belle Terre, NY",3605672,10,14,0,0,,866700,0
"Pelham Manor, NY",3657023,222,162,39,0,2469.569434,866100,25
"Scotts Corners, NY",3665948,55,0,0,30,1178.108617,865100,0
"Hilshire Village, TX",4834148,7,7,0,0,3476.426457,864700,0
"Fremont, CA",626000,29484,5534,4390,936,2210.3192,863800,1271
"San Pasqual, CA",668308,399,199,0,0,1392.420989,861700,0
"Dana Point, CA",617946,5385,1434,267,383,2001.907486,861600,399
"Princeville, HI",1565075,86,39,9,43,1599.0567,861500,817
"Anna Maria, FL",1201475,5,155,25,0,1131.2,858600,324
"Eldorado Springs, CO",823630,30,,,,1448.515126,858600,47
"Columbine Valley, CO",816385,22,0,15,0,,857100,0
"Quonochontaug, RI",4460260,44,0,0,0,,857100,0
"Bloomfield Hills, MI",2609180,154,230,90,59,1728.017381,856700,0
"Golf, IL",1730328,9,0,0,0,,856500,0
"Southport, CT",971040,205,11,81,33,2130,855100,0
"Clifton, VA",5117376,3,45,92,0,,854200,0
"Mettawa, IL",1748671,12,36,0,5,,852700,0
"Lake Forest, IL",1741105,1093,791,100,269,1856.249828,851900,214
"Lac La Belle, WI",5540750,6,0,24,0,1953.167777,850800,0
"Lexington, MA",2535250,2215,1317,215,292,2214.539224,849400,45
"Gallatin River Ranch, MT",3029885,0,,,,,849100,0
"Mountain Lakes, NJ",3448480,114,23,0,32,1351.359586,849100,40
"Haena, HI",1508950,57,,,,1511.267998,847200,104
"Searingtown, NY",3666102,32,52,240,0,,846000,0
"Bonny Doon, CA",607470,143,196,0,10,1090.495417,845600,6
"North Chevy Chase, MD",2456400,17,28,0,0,,845600,0
"East Foothills, CA",620598,221,53,93,89,2783.261292,844500,0
"Fenwick Island, DE",1026880,28,9,0,51,1215.830793,843800,21
"Woodacre, CA",686216,147,115,54,0,1389.297975,841900,0
